user_id,anime_id,rate
1,79227,9
1,2567,8
1,840,10
1,310,10
1,751,10
1,298,10
1,531159,8
1,1940,9
1,1773,9
2,232067,8
2,282413,8
2,2103,8
2,285482,8
2,398951,7
2,415779,9
2,376739,9
2,331752,9
2,285666,9
2,135275,7
2,27832,8
2,72941,9
2,551918,8
2,501958,9
2,470660,10
2,362335,7
2,41488,8
2,235130,9
2,296367,7
2,243916,7
2,357961,8
2,805,7
2,331887,9
2,302189,9
2,770,10
2,236020,6
2,215425,7
2,489820,7
2,37694,8
2,471793,8
2,231497,8
2,29648,8
2,102134,8
2,3425,9
2,27364,9
2,278569,8
2,54433,9
2,262277,8
2,91205,8
2,2785,8
2,2784,9
2,219200,8
2,260680,8
2,150490,8
2,160209,8
2,29883,9
2,302286,9
2,84171,8
2,296739,9
2,85631,9
2,328609,7
2,240038,8
2,394260,9
2,464376,7
2,441795,10
2,909,9
2,500,9
2,307,9
2,302,7
2,181354,8
2,113292,8
2,43558,8
2,277554,8
2,10440,9
2,3128,9
2,325585,8
2,298,10
2,247,10
2,265,10
2,1428,10
2,1608,10
2,127563,8
2,100444,9
2,21032,10
2,1104,8
2,4562,6
2,7206,8
2,248154,9
2,227718,8
2,204027,8
2,235128,8
2,183878,8
2,240386,9
2,294836,8
2,337459,8
2,324720,10
2,326895,8
2,339326,8
2,309311,10
2,412916,10
2,467461,9
2,395378,8
2,512876,9
3,638497,8
3,358934,8
3,331936,8
3,246238,9
3,146457,9
3,141530,9
3,93377,10
3,451757,8
3,102134,8
3,515759,8
3,470660,8
3,400602,9
3,545328,7
3,525565,7
3,604826,9
3,262897,8
3,207195,8
3,565802,9
3,179949,9
3,484623,8
3,528438,8
3,509986,8
3,531159,9
3,524707,8
3,514358,8
3,390555,8
3,398951,9
3,509297,8
3,8402,9
3,54433,9
3,436738,8
3,240038,9
3,219200,8
3,271151,8
3,248175,9
3,296659,8
3,293049,9
3,274234,8
3,296367,8
3,315574,8
3,347887,8
3,326895,8
3,317613,9
3,339326,8
3,328609,9
3,357961,7
3,394260,9
3,471793,8
3,431767,9
3,441795,8
3,464376,9
3,467461,8
3,480441,8
3,428735,7
4,2979,8
4,493724,7
4,353181,8
4,1894,7
4,7206,7
4,151345,7
4,23213,8
4,443106,7
4,493016,9
4,525565,7
4,515759,7
4,8474,7
4,548818,7
4,243430,7
4,526448,7
4,1030,7
4,893,8
4,604826,7
4,2046,6
4,565802,8
4,361095,7
4,285901,8
4,6048,7
4,3175,8
4,493,8
4,3478,8
4,1966,7
4,443,8
4,3168,7
4,38256,7
4,239270,7
4,794,8
4,10375,7
4,40003,8
4,514358,7
4,512190,7
4,470660,7
4,8726,7
4,390555,8
4,2049,8
4,524707,6
4,530115,7
4,398951,7
4,484623,7
4,545328,9
4,9757,7
4,1487,8
4,4035,8
4,513,8
4,8296,7
4,3130,8
4,3128,8
4,168204,7
4,283,7
4,47685,7
4,8290,7
4,407,7
4,357961,7
4,287488,8
4,343607,7
4,292,8
4,234,7
4,10843,7
4,843,7
4,2496,9
4,480441,7
4,697,8
4,1959,9
4,605,8
4,2042,8
4,312,7
4,3627,7
4,302,7
4,12426,8
4,260680,7
4,58949,6
4,14878,9
4,14879,8
4,14876,7
4,2108,6
4,18256,8
4,12579,8
4,23304,9
4,3172,7
4,2921,8
4,9565,7
4,298,9
4,769,7
4,9979,7
4,305,8
4,4042,7
4,9005,7
4,1981,8
4,13552,8
4,307,8
4,1608,8
4,321,9
4,310,8
4,1453,10
4,79662,6
4,2582,9
4,1940,8
4,839,9
4,253,9
4,4075,7
4,79678,7
4,2045,8
4,975,8
4,1891,10
4,822,8
4,2712,8
4,1728,10
4,4028,7
4,311,10
4,840,9
4,9713,8
4,3425,8
4,977,8
4,1856,8
4,337,7
4,334,7
4,338,8
4,842,8
4,768,7
4,254,8
4,1266,9
4,486,8
4,995,8
4,8,7
4,793,7
4,1773,8
4,847,7
4,848,7
4,841,10
4,2782,7
4,927,7
4,965,8
4,866,7
4,276,8
4,909,7
4,2882,7
4,1444,7
4,2784,8
4,2785,7
4,37873,7
4,51,7
4,876,8
4,37874,7
4,2790,7
4,299,8
4,300,8
4,2603,7
4,3805,7
4,1742,8
4,4216,7
4,4215,7
4,4214,7
4,1321,7
4,1512,7
4,282,7
4,770,9
4,1428,8
4,5649,6
4,1851,7
4,2464,8
4,8081,8
4,896,7
4,330,7
4,3622,7
4,7883,5
4,1424,8
4,3774,8
4,485,7
4,1606,7
4,3375,9
4,3471,8
4,192680,7
4,3020,6
4,3021,7
4,78799,6
4,3019,7
4,3326,7
4,11145,7
4,10440,7
4,14588,7
4,18624,10
4,10291,7
4,320,8
4,326,9
4,238,10
4,237,8
4,324,9
4,3428,7
4,33352,8
4,22588,7
4,21032,8
4,23686,6
4,41488,7
4,37897,7
4,37694,7
4,772,7
4,3302,8
4,6049,10
4,265,9
4,22505,6
4,29426,8
4,24274,6
4,36355,7
4,10840,7
4,45241,9
4,45240,7
4,26449,9
4,24790,7
4,9912,8
4,37785,5
4,27364,8
4,928,7
4,1220,8
4,1219,8
4,71802,7
4,47889,6
4,54675,7
4,336522,7
4,97305,7
4,1333,8
4,766,7
4,812,7
4,767,7
4,233,8
4,49666,7
4,11629,6
4,3423,7
4,43581,8
4,72941,7
4,18294,7
4,41568,7
4,238815,7
4,56847,8
4,1609,8
4,6390,8
4,120700,8
4,1849,6
4,29648,7
4,69484,8
4,83737,7
4,85204,6
4,83868,7
4,37685,8
4,103906,7
4,92412,8
4,100449,8
4,90880,7
4,88433,7
4,64172,8
4,59664,8
4,77480,8
4,100444,7
4,80864,7
4,100501,7
4,93739,9
4,11577,8
4,10639,8
4,95225,7
4,109386,7
4,101437,7
4,124646,8
4,78405,7
4,101442,7
4,106207,8
4,340,9
4,92705,8
4,3169,7
4,3166,7
4,236,7
4,2609,7
4,4255,7
4,20547,7
4,110648,7
4,2463,7
4,148726,7
4,178884,7
4,174142,8
4,137722,8
4,106818,7
4,131891,7
4,165738,7
4,160209,7
4,152092,7
4,115908,7
4,152091,8
4,696,8
4,1948,7
4,211068,6
4,234349,7
4,105075,7
4,199392,7
4,185943,7
4,259,7
4,891,7
4,12536,7
4,214799,7
4,247,8
4,185792,8
4,135275,7
4,174043,7
4,207573,8
4,218707,8
4,79227,7
4,187276,7
4,4019,8
4,202240,8
4,7707,7
4,148036,7
4,148037,8
4,147068,8
4,211567,9
4,8402,8
4,2772,7
4,4212,7
4,3553,10
4,62680,8
4,2664,7
4,1010,7
4,286,7
4,1015,9
4,50,8
4,9622,8
4,4583,9
4,3113,5
4,2907,9
4,143694,7
4,211066,7
4,240038,6
4,210458,7
4,218971,7
4,216311,7
4,236020,7
4,221127,7
4,251547,7
4,86670,7
4,216310,8
4,243981,7
4,252655,7
4,211311,8
4,235130,7
4,1671,9
4,23161,7
4,56117,7
4,68812,8
4,115932,7
4,138829,8
4,175596,7
4,233926,7
4,43558,7
4,85631,7
4,113292,7
4,150490,7
4,214265,7
4,235128,7
4,10380,9
4,129807,7
4,218708,8
4,207195,8
4,248154,8
4,216371,8
4,176478,8
4,127563,7
4,1262,7
4,181354,7
4,204027,7
4,251831,7
4,278899,6
4,237423,7
4,272510,7
4,28900,7
4,99796,6
4,136311,6
4,127573,6
4,243787,6
4,267412,7
4,226223,7
4,226218,7
4,226224,8
4,243916,7
4,265708,7
4,203526,7
4,240798,7
4,231497,8
4,248175,7
4,240799,7
4,158316,7
4,240760,7
4,91205,7
4,262277,7
4,278569,7
4,240386,9
4,44693,9
4,9717,8
4,54433,6
4,102134,6
4,292359,7
4,110467,8
4,285776,7
4,183878,6
4,280837,8
4,242216,6
4,2585,6
4,51928,7
4,262940,6
4,123568,6
4,260770,6
4,394621,6
4,84171,7
4,120236,8
4,173849,8
4,269918,7
4,295421,7
4,55770,7
4,118335,7
4,217300,8
4,293049,7
4,285482,7
4,263750,8
4,285666,7
4,230914,7
4,282433,8
4,296659,7
4,335579,6
4,289,7
4,288,7
4,296367,6
4,312723,6
4,317680,7
4,179949,6
4,274234,6
4,40310,7
4,72266,7
4,191302,7
4,208825,7
4,208827,7
4,208826,7
4,297396,7
4,332649,7
4,531,8
4,1269,7
4,750,7
4,1270,8
4,124341,8
4,304087,6
4,329948,8
4,277554,7
4,227718,8
4,294836,8
4,302189,7
4,331887,6
4,282684,7
4,262897,8
4,325585,8
4,315574,7
4,29883,8
4,335036,8
4,294135,9
4,325285,8
4,326895,6
4,315026,7
4,379789,8
4,331480,8
4,381839,7
4,361384,7
4,339326,7
4,381841,7
4,361385,7
4,331752,6
4,309311,9
4,284524,7
4,381842,7
4,345980,8
4,313852,7
4,343176,7
4,333664,7
4,302286,7
4,219200,7
4,271151,7
4,347887,7
4,290980,7
4,353605,8
4,298477,7
4,317613,7
4,328609,8
4,428735,7
4,376739,6
4,420628,7
4,380448,7
4,412916,6
4,378862,7
4,415779,6
4,376703,7
4,404804,7
4,243429,8
4,362335,7
4,296739,8
4,400602,7
4,467461,7
4,489820,7
4,413635,8
4,444557,8
4,472620,7
4,495562,7
4,431767,7
4,395378,7
4,464376,7
4,475354,7
4,394260,6
4,441795,7
4,518519,8
4,509297,5
4,471793,5
4,342667,6
4,513089,7
4,486347,7
4,430699,7
4,531159,7
4,509986,8
4,528438,7
5,339326,7
5,353605,9
5,424372,8
5,357961,8
5,428735,8
5,467461,8
5,395378,8
5,448478,8
5,471793,7
5,430699,8
5,317613,8
5,315574,9
5,328609,8
5,325285,9
5,45336,8
5,24790,8
6,501963,8
6,253,8
6,79227,10
6,185943,8
6,526448,8
6,604826,9
6,565802,8
6,296367,7
6,343589,7
6,276,10
6,75055,9
6,4884,8
6,2046,7
6,4301,9
6,442114,8
6,400602,8
6,110467,10
6,512190,8
6,514358,7
6,524707,9
6,509986,7
7,110148,9
7,309311,9
7,604826,9
7,8986,8
7,470660,9
7,2907,9
7,400602,9
7,441795,9
7,394260,9
7,187276,9
7,79227,9
8,8402,10
8,235130,10
8,185943,10
8,515759,10
8,2585,10
8,100444,10
8,152091,10
8,326895,10
8,9912,10
8,467461,10
8,183878,10
8,135275,10
8,115908,10
8,509986,10
8,328609,10
8,302189,10
9,604826,8
9,302,8
9,309311,9
9,29883,9
9,518519,9
9,298,8
9,325285,7
9,183878,7
9,324,8
9,9912,8
9,311,9
9,216372,8
9,247,10
9,115908,9
9,464376,8
9,509297,7
9,315574,9
9,400602,8
9,328609,8
9,428735,7
9,160209,9
9,840,9
9,216371,9
9,152091,9
9,240038,9
10,353792,7
10,493724,7
10,474371,8
10,547888,7
10,361095,8
10,493016,8
10,472741,8
10,548818,7
10,604826,7
10,332649,7
10,470660,8
10,512190,7
10,508003,6
10,509986,7
10,524707,6
10,325285,8
10,1428,10
10,770,4
10,10440,7
10,2664,6
10,9717,8
10,285776,7
10,509297,4
10,93739,10
10,1015,9
10,428735,6
10,448478,8
11,353181,8
11,493724,8
11,551918,8
11,474371,8
11,547888,8
11,493016,9
11,975,9
11,899,8
11,548818,8
11,472741,8
11,443106,8
11,515759,8
11,525565,8
11,623179,8
11,604826,8
11,294713,8
11,526448,7
11,565802,9
12,451757,7
12,18624,9
12,278569,9
12,501963,8
12,495291,8
12,552533,8
12,400602,8
12,604826,8
12,309311,9
12,325285,9
12,260770,7
12,313852,8
12,251831,8
12,415779,8
12,376739,8
12,11145,7
12,296367,8
12,262940,8
12,331752,8
12,316247,8
12,289,8
12,274234,7
12,285776,8
12,278826,7
12,378862,8
12,51928,8
12,8,9
12,339326,8
12,326895,8
12,43558,8
12,95225,8
12,2585,8
12,54433,7
12,23686,8
12,10440,8
12,29648,8
12,285666,8
12,404804,7
12,376703,8
12,79227,8
12,2059,8
12,751,8
12,50,8
12,12317,8
12,334399,8
12,100449,8
12,287488,8
12,417020,8
12,332649,8
12,293049,8
12,4884,8
12,45336,8
12,24790,8
12,37685,8
12,3892,8
12,277554,8
12,47665,9
12,8402,9
12,100444,8
12,909,8
12,246238,8
12,85631,8
12,7777,9
12,296739,8
12,288,8
12,10639,8
12,353605,8
12,315,9
12,110148,9
12,55770,9
12,1424,8
12,276,9
12,298477,9
12,325585,9
12,317613,9
12,793,9
12,51,9
12,328609,9
12,1773,8
12,3774,8
12,93377,8
12,9912,9
12,9622,9
12,770,9
12,9717,9
12,265,9
12,1428,9
12,10380,9
12,876,9
12,548818,7
12,390555,8
12,509297,8
12,531159,8
12,486347,8
12,430699,8
12,467461,8
12,342667,8
12,444557,8
12,431767,8
12,395378,8
12,428735,8
12,296295,8
12,420628,8
12,272510,8
12,265708,8
12,240386,9
12,263750,9
12,240798,8
12,240799,8
12,240760,8
12,248175,8
12,243981,8
12,252655,8
12,235128,8
12,240038,7
12,246431,8
12,91205,8
12,214265,9
12,235130,9
12,217300,9
12,227718,8
12,129807,9
12,211311,8
12,219200,7
12,204027,8
12,109375,8
12,218707,9
12,203526,9
12,187276,9
12,146457,9
12,207573,7
12,118335,9
12,176478,8
12,185792,8
12,174043,8
12,179949,7
12,181354,8
12,158316,8
12,168204,8
12,150490,8
12,140001,8
12,135275,8
12,124646,8
12,123568,8
12,141530,9
12,109386,9
13,4237,10
13,3324,10
13,604826,9
13,470660,9
13,1424,10
13,8696,7
13,284524,6
13,8402,6
13,769,5
13,431767,7
13,467461,8
13,512190,7
13,514358,7
13,484623,8
13,13012,6
13,112397,5
13,2972,7
13,211311,8
